These are Comments,
0,518
1,506
2,494
3,483
4,472
5,462
6,454
7,446
8,440
9,434
10,430
11,428
12,430
13,430
14,432
15,436
16,439
17,444
18,450
19,454
20,459
21,465
22,470
23,475
24,481
25,487
26,490
27,494
28,497
29,500
30,502
31,504
32,505
33,507
34,506
35,504
36,504
37,503
38,502
39,500
40,499
41,498
42,496
43,495
44,493
45,491
46,488
47,488
48,487
49,490
50,491
51,500
52,515
53,538
54,567
55,603
56,640
57,677
58,714
59,745
60,772
61,788
62,795
63,795
64,783
65,765
66,740
67,712
68,677
69,641
70,605
71,568
72,535
73,503
74,474
75,450
76,430
77,414
78,401
79,393
80,388
81,385
82,385
83,388
84,393
85,401
86,412
87,426
88,440
89,455
90,473
91,491
92,509
93,523
94,537
95,549
96,558
97,564
98,565
99,565
100,561
101,556
102,548
103,540
104,531
105,519
106,508
107,497
108,486
109,475
110,465
111,457
112,450
113,444
114,438
115,435
116,432
117,431
118,431
119,432
120,434
121,438
122,441
123,445
124,450
125,454
126,460
127,466
128,471
129,477
130,483
131,487
132,491
133,493
134,496
135,500
136,501
137,502
138,504
139,505
140,504
141,503
142,502
143,501
144,499
145,498
146,496
147,495
148,492
149,492
150,490
151,490
152,490
153,497
154,510
155,530
156,559
157,593
158,630
159,667
160,703
161,735
162,759
163,774
164,782
165,781
166,771
167,753
168,728
169,700
170,668
171,632
172,597
173,562
174,528
175,497
176,470
177,446
178,426
179,411
180,399
181,389
182,385
183,382
184,383
185,386
186,391
187,398
188,407
189,420
190,433
191,450
192,469
193,487
194,504
195,521
196,537
197,550
198,560
199,569
200,573
201,571
202,569
203,563
204,556
205,544
206,533
207,521
208,509
209,496
210,485
211,475
212,466
213,456
214,449
215,442
216,436
217,433
218,430
219,428
220,429
221,428
222,431
223,436
224,441
225,447
226,452
227,457
228,462
229,466
230,471
231,478
232,483
233,487
234,491
235,494
236,497
237,499
238,501
239,503
240,504
241,505
242,504
243,504
244,503
245,501
246,500
247,498
248,497
249,496
250,498
251,502
252,512
253,530
254,554
255,585
256,618
257,651
258,684
259,715
260,739
261,756
262,767
263,768
264,762
265,749
266,728
267,704
268,673
269,641
270,608
271,574
272,540
273,509
274,480
275,455
276,433
277,416
278,403
279,391
280,385
281,379
282,378
283,378
284,382
285,390
286,399
287,413
288,428
289,446
290,464
291,482
292,501
293,521
294,537
295,550
296,562
297,569
298,574
299,574
300,572
301,567
302,559
303,548
304,537
305,523
306,510
307,496
308,485
309,474
310,463
311,452
312,445
313,438
314,433
315,431
316,428
317,429
318,428
319,430
320,433
321,436
322,440
323,445
324,450
325,455
326,462
327,468
328,474
329,481
330,486
331,490
332,496
333,500
334,504
335,506
336,508
337,508
338,508
339,508
340,509
341,507
342,505
343,503
344,499
345,498
346,497
347,501
348,508
349,520
350,542
351,570
352,605
353,642
354,679
355,714
356,745
357,768
358,785
359,794
360,793
361,783
362,766
363,744
364,715
365,683
366,647
367,613
368,578
369,544
370,513
371,485
372,460
373,441
374,425
375,413
376,403
377,399
378,396
379,395
380,397
381,402
382,409
383,419
384,428
385,441
386,455
387,470
388,484
389,500
390,513
391,527
392,536
393,544
394,549
395,550
396,551
397,548
398,543
399,537
400,529
401,521
402,511
403,501
404,489
405,481
406,471
407,463
408,455
409,448
410,444
411,439
412,437
413,435
414,432
415,433
416,433
417,436
418,439
419,443
420,448
421,452
422,457
423,462
424,467
425,473
426,477
427,482
428,487
429,491
430,494
431,497
432,498
433,499
434,500
435,500
436,499
437,500
438,498
439,498
440,497
441,495
442,494
443,492
444,491
445,490
446,489
447,492
448,500
449,515
450,538
451,569
452,604
453,643
454,681
455,716
456,747
457,770
458,785
459,790
460,788
461,777
462,758
463,734
464,704
465,671
466,636
467,601
468,567
469,533
470,503
471,476
472,453
473,435
474,419
475,409
476,401
477,397
478,395
479,395
480,397
481,402
482,409
483,418
484,429
485,443
486,458
487,473
488,489
489,504
490,519
491,532
492,543
493,549
494,554
495,556
496,553
497,550
498,544